rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
0,2000,60,5,4,8000,0.009430582998902537,21.412262707999616,2.276688166995882,139281762,8928376,3904480,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,1,12,12000,0.0005089589976705611,6.410429832998489,0.47541020800417755,42707180,1895204,1056080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,5,12,12000,0.0023361249986919574,6.344856916002755,0.4693171250037267,42708798,1895340,1056080,3.9968028886505635e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,1000,10,20,12,12000,0.009151250000286382,6.3314237910017255,0.4451487080004881,42705726,1895096,1056080,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,5000,3,5,4,20000,0.0011847499990835786,4.553632208000636,0.18900529199891025,31536464,851227,640024,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,5000,10,5,4,20000,0.0038240830035647377,10.48596974999964,0.4437899999975343,71161587,1895216,1760080,3.774758283725532e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,5000,30,5,4,20000,0.011666499995044433,27.380725000002712,1.173480916004337,181463806,4655858,4960240,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
0,5000,60,5,4,20000,0.024200667001423426,53.910337332999916,2.3622483750004903,348212444,8928081,9760480,2.55351295663786e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,250,3,5,4,1000,8.962499850895256e-05,0.22432187499362044,0.19104020799568389,1582181,851313,32024,6.661338147750939e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,1,1,1000,5.624999903375283e-05,0.526156958003412,0.4492960409988882,3564777,1895576,88080,2.4424906541753444e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
