rep,cell,variant,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,typed_contract_enforced,proof_verification_mandatory,ablated_component,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256
0,shared_sparse,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9723611212848162,0.828971779382048,1.1157504631875845,0.021346458997868467,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9861911151648608,0.8907257480940631,1.0816564822356585,0.018248708001920022,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.002838082997186575,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,0.9861911151648608,0.8907257480940631,1.0816564822356585,0.018208124994998798,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,0.9942187923193669,0.774218792319367,1.214218792319367,1.3042001228313893e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9861911151648608,0.8907257480940631,1.0816564822356585,0.018189708003774285,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,supported_strong,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9861911151648608,0.8907257480940631,1.0816564822356585,0.018248708001920022,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.0198148116248955,0.9239562556310813,1.1156733676187098,0.018975582999701146,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.002602042004582472,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,1.0198148116248955,0.9239562556310813,1.1156733676187098,0.01890754200576339,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,7.556522590572379e-21,-0.22,0.22,1.2124997738283128e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.0198148116248955,0.9239562556310813,1.1156733676187098,0.01886279199970886,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_small,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,,,,False,False,,1.0,,,,0.018975582999701146,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
0,scale_large,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.027098682518007,0.932399018595944,1.12179834644007,0.01865337500203168,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
